Brand,RAM,Storage,Processor,Price
Apple,16,2048,Ryzen 7,217000
Apple,64,2048,M1,308000
MSI,64,2048,M1,273753
Dell,64,2048,Ryzen 7,180000
Lenovo,8,1024,i3,45000
Apple,16,1024,i9,217000
Asus,16,512,Ryzen 7,151106
Asus,64,2048,M1,281980
Apple,32,2048,M2,301000
Acer,64,256,M1,121550
Dell,8,256,Ryzen 3,35000
Acer,8,1024,i9,87550
Dell,64,512,Ryzen 7,148000
Asus,32,2048,Ryzen 7,214729
Acer,64,2048,Ryzen 9,164050
Asus,4,2048,i3,133682
Asus,32,256,Ryzen 5,156716
Apple,4,512,Ryzen 5,109200
MSI,32,256,M2,247658
MSI,32,2048,i3,187039
Acer,8,256,i9,70550
MSI,32,1024,i3,162607
Lenovo,64,1024,i7,139500
HP,4,1024,Ryzen 3,43000
HP,32,512,Ryzen 5,91000
HP,4,2048,i3,63000
Lenovo,32,2048,Ryzen 5,108000
MSI,16,2048,M1,214816
Acer,32,512,Ryzen 7,90100
Asus,16,512,Ryzen 3,114790
Lenovo,4,1024,Ryzen 3,36000
MSI,32,256,Ryzen 3,144330
MSI,4,1024,Ryzen 3,101835
Asus,64,512,Ryzen 9,250717
Dell,32,2048,i5,125000
HP,16,256,Ryzen 7,83000
Apple,4,256,Ryzen 5,98000
Asus,4,1024,i5,112397
Dell,64,2048,i7,180000
Acer,64,256,M2,147050
MSI,32,256,M1,182024
Asus,4,1024,i3,102330
Dell,64,2048,Ryzen 9,200000
HP,8,512,Ryzen 3,41000
Acer,8,1024,Ryzen 5,53550
Lenovo,32,1024,Ryzen 5,90000
Dell,64,2048,M2,220000
MSI,16,1024,M2,240359
Apple,16,1024,i9,217000
Asus,4,256,Ryzen 3,95723
MSI,4,2048,i5,159365
MSI,8,256,M1,152130
HP,32,2048,M2,183000
MSI,8,1024,M1,172770
Apple,4,256,i5,98000
Asus,32,512,i9,202614
HP,32,256,Ryzen 7,103000
Apple,8,256,Ryzen 7,140000
Asus,16,1024,Ryzen 3,120907
